ID,RATE,CREATED,REVIEW
mimi*****,5,25-02-24,곤약밥은 처음 먹어봤는데 예상과 달리 일반 햇반과 큰 차이가 없어서 만족스러웠어요! 밥알이 톡톡 씹히는 느낌이 호불호가 좀 갈릴 것 같긴 하지만 개인적으론 마음에 들었습니다 :)
welf*****,5,25-02-21,체중조절 목적으로 구매했는데 잘한 선택이었어요. 현미가 까끌하지 않을까했는데 그렇지않고 곤약이랑 어울어져서 식감이 좋아요. 꼭꼭 씹어먹게 되어서 다이어트에 좋을 듯해요.
wngh*******,5,25-02-02,"한달사용재구매제 룸메와 다이어트할때마다 사먹어요. 소화 좋고 양도 적당하고 배부르고 3-4주에 한번씩 다먹으면 재배달 시킵니다. 호밀빵, 바나나, 고구마 다 있지만 포만감과 요리다양성은 밥이 최고인거 아시죠? 부추간장밥, 콩나물국밥 맛나게 먹었습니다. 다만 쿠팡이 더 쌀때 있어서 서치해보고삽니다."
he****,5,25-02-27,"재구매가족들은 백반 먹고 저는 귀리밥 먹어요~
귀리밥 질리지 않고 맛있습니다. 감사합니다."
flyl***,5,25-02-19,재구매다이어트용으로 아주 좋아요. 떨어지지 않게 계속 재구매 하고 있습니다. 감사합니다. 또 주문 할게요~
halo****,5,25-02-23,"재구매쌀밥은 맛있는데 먹을땐 고민이 되서 
적당히 섞어먹어요 너무 이질감 없규 좋아요"
aa51****,5,25-02-06,"혈당관리에 현미랑 귀리가 좋다고 해서 
현미찰밥을 주문해서 먹어봤어요 
생각보다 나쁘지 않아서 
이번에는 현미귀리곤약밥을 주문했어요 
칼로리도 낮고 사이즈도 작아서 아주 좋아요
먹어보고 맛있으면 재주문합니다더보기"
dyna***,5,25-02-23,재구매현미가 섞여 꼬들하고 맛있어요 양도 한번 먹기 적당한것 같아요
loll******,5,25-01-23,"체중감량 겸 마트에서 1개 사서 먼저 먹어봤는데 
식감도 좋고 맛있어서 구매했어요 
배송도빠르고 유통기한 넉넉해서 사진 같이 첨부합니다!"
rlag********,5,25-02-24,다이어트한다고 열심히 먹고 있어요 칼로리도적고 포만감도 굿굿
melo***,5,25-02-15,항상 시키는 제품이예요 할인이벤트로 시켰더니 좋네요~곤약밥 약간 질은데 이건 그렇지않아요 보리밥처럼 식감 좋아하시면 좋아하실듯요~~
arag*****,4,25-02-26,재구매요즘 매일 먹는데 맛있고 칼로리 낮아 좋아요
naok***,4,25-02-26,아직 먹기전이지만 가격비교.리뷰봤을때 잘산거같아요
kb****,5,25-02-23,부드럽고 아주 맛있어요  좋은 상품입니다
ml****,5,25-02-26,곤약밥 옛날에 중소기업거 먹었을때는 별로였는데 햇반건 맛있네오
eunj******,3,25-02-24,재구매저흐 딸이 항상 같은 햇반만 먹어요 다이어트용 이래요
pure****,5,25-02-25,"재구매3번째 주문이에요
가볍게먹기 너무좋아요
가격만 더 착했으면ㅎㅎ"
kmhy***,5,25-02-01,"2월 1일에 배송 받았고, 유통기한이 9월 29일까지라니 넉넉한 편이네요. 다이어트 용으로 현미와 귀리가 포함되어 있어 영양가도 높고 포만감도 좋을 것 같습니다."
star***,5,25-02-27,재구매쌀밥보다 부담없고 양도 적어서 좋아요
kkkk****,5,25-02-18,"혈당때문에 주문 해 봤어요.
처음에 데울때 냄새는 안좋지만 먹기에는 괜찮아요."
skym*****,5,25-02-16,재구매저번에 한번주문해서 먹었는데 맛도좋고 가볍게 느껴져서  좋았습니다. 그래서 다시 주문했어요.
trul********,5,25-02-22,재구매매번 시켜놓고 먹어요. 다이어트용으로 쟁여놓으면 든든해요
yes1*****,5,25-02-27,아직 먹어보진 않았는데 다이어트용으로 샀어요
ca****,5,25-02-19,재구매저당식단 유지위해서 먹고있어요. 만족스럽습니다.
ye****,5,25-02-24,"칼로리낮으면서 포만감도있고
다이어트할때 딱좋은밥이네요"
eile******,4,25-02-27,곤약밥은 처음  구매하는데 가격대가 세요
beau******,4,25-02-27,재구매배송 빠르고 좋아요~
whda*****,5,25-02-02,여기저기서 곤약들어간 밥들 먹어봤는데 햇반이 최고입니다. 다만 아쉬운건 알반 햇반보다 양이 적다는것인데 칼로리가 낮아보이는건 양이 적기 때문인것도 있습니다ㅜㅠ 대식가들에겐 조금 적은양이에요
cape****,5,25-02-14,재구매항상 쟁여놓고 먹고있어요 소화도 잘되고 맛있어서 좋아요
jubi******,5,25-02-20,"확실히 쿠팡에서 시킬때보다 깨끗하게 오긴하네요 
다행입니다"
gkeh*******,5,25-02-23,재구매자주 시켜먹습니다. 정량으로 먹기 좋아요
gkeh*******,5,25-02-23,자주 시켜먹습니다. 정량으로 먹기 좋아요.
coco******,5,25-02-15,재구매다이어트때 늘 주문해 먹어요. 생각보다 맛나요
bkjo****,5,25-02-16,배송도 빠르규 아주좋습니다 잘받았어요
joja****,5,25-02-24,재구매감사합니다 빨라요 맛있오
kyun****,5,25-02-27,식감도 좋고 맛있어요~~~
tryy***,5,25-02-24,재구매혈당이 높아서 자주 구매해서 먹습니다
kor5***,5,25-02-25,병원에서 당조절위해 먹고있어요~
pgsf***,5,25-02-13,재구매잘 받았습니다. 혈당 관리위해 주기적으로 구매하고 있습니다.
jm****,5,25-02-23,밥알이 톡톡 터짐 맛있어요
shwj***,5,25-02-17,재구매또 살때 다되가요 또 주문할거에요
ha****,4,25-02-17,다이어트 용으로 혈당피크 안생기고 곤약을 넣어 좋아요
cras****,5,25-02-15,식감이 톡톡 터지는 듯한 느낌이라 먹는 재미가 있고 적은 양에 비해 포만감이 좋음.
myun******,5,25-02-23,재구매집에서도 회사 도시락으로도 항상 먹어요!!!
wjy7***,5,25-01-23,일반 햇반 보다는 비싸지만 체중관리를 위해 샀어요. 행사가로 조금 저렴하게 사서 만족합니다. 유통기한도 넉넉해서 좋아요
xhrl***,5,25-02-19,"재구매칼로리도 낮고 간편하게 먹을수 있어
좋아요"
euny*******,5,25-02-20,재구매배송도 빠르고 좋아요
kyjw****,5,25-02-20,재구매항상 넉넉히 구비해놔야 마음이 편해요 ㅎㅎ
