ID,RATE,CREATED,REVIEW
le****,5,2025-01-02,한달사용밥먹고나서 한포 먹는데 소화도 잘되구 맛도잇어서 조아요
8977***,5,2025-01-20,한달사용재구매맛있어요 ㅎㅎ 또 구매할게여
hn****,5,2025-01-11,한달사용애사비 중에서 제일 맛있어요!! 재구매한 제품입니다~~
best*****,5,2024-12-19,한달사용구미 재구입하면서 같이 주문해봤어요. 아직 안먹어봤지만 좋을거같아요
coco******,5,2024-12-13,한달사용원플딜할때 저렴하게 잘샀어요 ㅋㅋ 너무 시지않고 적당히 달콤해요
qkrw********,5,2024-12-17,한달사용거의다먹었네여시큼하니달달하고마시써영
3904***,5,2024-12-09,한달사용이제 이거 없으면 못 살 정도에요!! 평생 애사비는 여기서만 사먹을겁니다..ㅎ 완전 피크닉 맛!
bomb****,3,2024-12-05,한달사용간편하게 먹기 쉽고 맛도 무난해서 부담없이 애사비를 먹을 수 있어요~ 다만 계속 먹기엔 가격부담이 있어요;;
dayo********,5,2024-10-27,"애사비가 다이어트할 때 먹기 좋다고 하길래 한번 구매해봤어요.
사과식초라고 해서 엄청 시고 별로 맛이 없을 줄 알았는데 생각보다 달달하니 너무 맛있었어요!
한포씩 개별포장되어있어서 먹기도 편하고 외출할 때 들고 다니기도 좋네요~!"
sa60****,5,2024-09-20,"요즘 제가 매일 먹고있는 애사비 클렌즈인데
1+1에 착한 가성비까지 너무 맘에들어요
전에 먹던 애사비는 특유의 향이 강해서
먹기 힘들었는데 억지로 마셨어요
닥터랩노쉬는 처음에 먹어보고
애사비 클렌즈 맞나싶을정도로
특유의 향도 없고 너무 맛있네요
평소 빵도 좋아하고 자극적인 음식을
즐겨먹어서 애사비를 먹어줘야
몸이 가벼운 느낌들고 좋더라구요
식초 살짝 넣은 사과쥬스 먹는듯한 달콤
상큼한맛이라 매일 먹어도 질리지않아요!!
외출시에는 생수1병에 1포타서 갖고나가고
집에서는 얼음넣고 탄산수에 타서
시원하게 마시고있어요
사과초모분말이 65% 들어있어서
함량이 높아 진하고
국내산 사과 100%로 만든 제품이예요
첨가물없이 사과 통째로 착즙후 자연발효시켜서
건강에도 좋고 유기산이 풍부해요
1포에 0.4g 당류가있어서 당걱정할 필요없어요
개별포장이라 휴대하기 좋고
이지컷이라 생수만있음 언제 어디서든
즐길수있어요
몸도 가볍고 하루를 기분좋게 시작할수있는
맛이는 클렌즈라 정착하려고해요!!더보기"
lees******,5,2024-11-25,"한달사용맛있어요!!!! 탄산수에 타먹어도 좋더라구요
근데 원터치 잘리는부분이 자르면 안에서 분리되욬ㅋㅋㅋ"
winn*****,5,2024-09-22,"연휴동안 너무 기름진걸 많이 먹은 죄책감과 원치 않았지만 제게 온 살2kg을 없애기 위해 운동과 몸속클렌징을 병행하기러 결심하고 애사비 구매했어요.
1+1이라 가성비 좋구요.
여기 애사비는 식초맛보다 사과맛이 진해서 마시기 너무 좋아요.
인공단맛이 아니라 국내산 사과의 단맛이라 진짜 맛있더라구요. 
운동갈때 텀블러에 생수+애사비 타서 갖고 다니는데 찬물에도 잘 녹구요.
상큼달달해서 맛도 좋고 운동할때 부스터역할도 해주는듯 해요.
마시고나면 화장실 가기도 편하고 몸이 전체적으로 가벼워지는 느낌이예요.
급찐급빠 해야하니 부지런히 챙겨먹어서 효과볼수 있음 좋겠어요!!더보기"
dayu*****,5,2024-09-23,"요즘 제가 즐겨 마시는 음료. 제일 좋은건 간단하면서 너무 맛잇어요!!! 1+1행사때 삿는데 사무실에서 마시면서 좀 더 사 놓을껄 하면서 후회중입니다. 식초향 정말 싫어하는데 식초향도 없고 사과맛이 강하니 매일 먹어도 질리지도 않고 음료수처럼 홀짝홀짝 잘 마시고 있어요. 
평소 기름진 음식이며 탄수화물, 달달한 디져트들 진짜 좋아하는데 애사비 클렌즈 만난 후론 몸도 가벼워지고 식사후 죄책감이 덜해져요. 
피로회복에도 좋고 장운동에도 좋다하니 하루에 한잔은 꼭 마시고 있어요. 화장실가는게 힘들었는데 가는게 불편하지도 않고 너무 개운하니 좋네요. 
개별포장도 좋아 박스에서 하나씩 쏙 빼 가방에 가지고 다닌답니다. 
사무실 사람들도 맛보여드리니 너무 맛잇고 좋다고 탕비실에 사놓으라고 하네요.더보기"
viol******,5,2024-11-24,"한달사용맛이 좋고 찬물에도 잘 녹아요!
향이 좋아서 마시기 편합니다."
jeon*******,5,2024-09-20,외근을 많이 하다보니 물을 정말 많이 먹는데 생수 먹기보다는 이런저런것 사다가 타먹고 있어요. 그래야 생수보다 꿀꺽꿀꺽 잘 넘어가더라구요. 이것저것 많이 사먹어 봤는데 물에 녹는 분말형태 중에는 제일 남는거 없이 잘녹아요. 진짜 한두번 흔들면 다 녹아 있더라구요. 그리고 무엇보다 너무 맛있습니다. 맹맹한 맛이 아니고 진하지 않고 적당히 달달한데 당류는 엄청 적어서 입에 남지 않고 깔끔한 단맛이 납니다. 식초의 쿰쿰한 맛없이 맛있게 먹을 수 있는 맛이에요. 문제는 맛있어서 하루에 몇개씩 타먹는게 문제지만요ㅋ 가방에 몇개씩 챙겨다녀도 부피 차지없는 스틱형태라 휴대성도 좋습니다
wlsd******,5,2024-09-18,"맛이 너무 좋아요
예전에 다른 애사비를 먹어봤는데 맛도쓰고 너무 셔서 먹다가 버린적이있는데 이제품 은 신맛이 딱 알맞습니다 요즘 날이더워서 찬물에 먹기 너무 편해요
신걸좋아하는편인데 많이시지도않고 저에게는 딱입니다 개별포장되어잇어서 출근할 때 가방에 하나씨구넣어더니기 좋아요 아침에는 커피를 먹고 오후에는 냉보리차같은 걸 마셨는데 이제 상큼하게 애사비 클렌즈를 마셔야할거같습니다 힘들고 지친오후는 상큼한데 들어가면 일을 더 열심히 할거같아요 요즘 애사비가 유행인데 잘 구매한거같 아요
식전식후 따로 필요없이 하루함포만 먹어도되니 하루에 두세번 먹는달 귀찮아하는저에게 딱좋습니다 가족들도 한번씨구먹어보더니 이제 한잔씩 타달라고하는데 더 구매해야할거같습미다더보기"
lee0***,5,2024-09-13,"1+1 일때 잘 샀지만 이참에 좀 더 쟁일껄 왜 하나만 샀는지 너무 후회됩니다.
다른 애사비 브랜드에선 쿰쿰한 식초 냄새가 강렬했는데 닥터랩노쉬 애사비는 상콤하니 사과맛도 진짜 찐하고 매일 먹어도 그리 달지 않아 부담도 없고 너무 맛있었어요. 
애사비가 체지방, 체중감소에 도움이  되고 장운동, 혈당감소, 피로해복에 좋다고해 띠용하면서 잘 먹고 있어요~
부담없는 자연 발효한 건강 음료라 요즘 얼음물에 타서 맛있게 잘 마시고 있는데 평소 화장실을 잘 못가 속도 불편하고 힘들었는데 닥터랩노쉬 애사비 접한후론 화장실을 하루에 한번 시원하게 간다는게 가장 좋은 이유예요!! 너무 너무 좋고 몸이 가벼워졌어요. 화장실을 매일 갈 수 있어 그 신뢰로  1포씩 꼭 챙겨 먹고 있답니다.
또 포장이 한포씩 잘 되어 있어 휴대하기 좋아 사무실가서 얼음물에 맛있게 잘 마시고 있어요. 진짜 강추에요. 몸에 안좋은 음료보다 건강 챙기며 맛있는 닥터랩노쉬 애사비 한잔 어떤가요?!더보기"
euns*****,5,2024-09-19,"워낙 먹는 걸 좋아해서 평소에 가볍게 클렌징 할 만한 걸 찾다가 구매했어요. 우선 제가 고른 기준점은 너무시지 않은 것과 먹기 편한 것 ! 이 두 가지를 중점으로 찾아봤는데 이 제품은 먹기 편한 게 한포씩 휴대하기에도 편하고 그냥 물에 타서 먹기에도 괜찮고 ~탄산수에 넣어 먹기도 괜찮고 하이볼 만들어 먹기에도 잘 어울려요ㅎㅎ 하루에 두 포 정도 먹고 있고 위가 약한 편임에도 먹고 나서 속이 쓰리다던지 더부룩한 느낌이 없어서 먹게 되는 거 계속 먹게 되는 것 같아요. 사과 과즙 분말에 프로바이오틱스도 들어 있고 통째로 착즙한 국내산 사과라서 이런 점도 마음에 들더라구요*_*
대체 당을 사용해서 칼로리랑 당도 낮은 편이고.. 워낙 탄산을 좋아해서 끊이지 않고 마시는데 요즘은 탄산 대신 애사비를 물에 타서 마시고 있어요.ㅎㅎ  왠지 하루에 한 두포씩 쭉 챙겨 먹으니  좀 가벼운 느낌 속이 좀 가벼운 느낌도 들어서 앞으로도 꾸준히 챙겨 먹어 보려구요. 처음 사봤는데 마음에 듭니다!ㅎㅎ더보기"
3053***,5,2024-11-29,"한달사용역시 배송도 빠르고 최고예요
항상 잘 애용합니당 ^^"
kimy*****,5,2024-11-30,한달사용밥먹고 입가심으로 먹고있는데 피크닉맛나고 맛있어용
bill*****,5,2024-09-17,요즘 체중이 조금 는거 같아 운동도 꾸준히 하는데 나이가 드니 잘 안빠지는거 같아요. 식단은 하기 힘들어서 어떻할지 고민중에 애사비가 체지방조절에 도움을 준다고 해서 구매해봤어요.첨엔 맛이 없을까봐 걱정했는데 달콤하고 상큼한 사과맛 쥬스같아요. 요즘 음료 대신 얼음 넣어서 마시면 진짜 맛있어요. 얼마전에는 콤부차에 빠져서 한동안 잘마셨는데 닥터앱로쉬 애사비가 더 맛있는거 같아요. 요즘 화장실도 잘가고 속이 많이 편한 느낌이예요. 일단 맛있어서 계속 마시고 싶은 생각이 들어요.하루에 두잔은 무조건 타서 마시게 되요 . 1+1일때 사길 잘헸네요. 벌써 한통 다 먹어 가서 미리 좀더 쟁여 놓으려구요.
hj****,5,2024-12-12,한달사용꾸준히 먹으니까 몸리 가벼워지네요. 운동후 시원하게 마시니까 질리지않아요
hj****,5,2024-09-20,다이어트는 평생 숙제인거 같아요. 나이가 있다보니 땀을 흘리고 운동을 해도 살 빠지기는 커녕 배는 더 나오니 건강을 위해 체질 개선과 몸에 나쁘지않은 제품을 찾게 되네요. 평소 젤리제형의 제품을 먹었는데 식초맛이 강해서 못 먹었어요. 우연히 지인의 추천으로 애플사이다비니거 리얼 애사비 클렌즈을 알게 되어 구입했어요. 제가 좋아하는 사과맛과 시원한 물에 타서 먹는 거라 배송받자마자 먹었지요. 우와 더운 여름날 계속 마시게 되네요. 너무 상큼하고 시원하고 목넘김이 좋아요. 맛은 물양으로 조절 가능하고 하루 1~2포 권장인데 더 먹게 되네요.
reom***,5,2024-09-12,"요새 다이어트한다는 사람은 누구나 들어봤을만한 애사비! 
저도 들어는 봤지만 이번에 처음으로 접해봤네요.
애사비는 애플사이다비니거의 줄임말로 
첨가물 없이 사과를 통째로 착즙해 자연발효한 건강음료라고 합니다.
어떤 제품은 큼큼한 냄새가 난다고도 하는데,
100% 국내 사과를 사용해서 그런지, 단맛만 나는 게 너무 맛있네요.
당류가 0.4g밖에 안되는데, 어떻게 이런 단맛이 나는 건지! 
콤부차처럼 새콤달콤 맛있는 음료라서 매일 매일 먹고싶어집니다.

하루 한포 섭취인데 스틱 형식이라 휴대가 간편해서 
언제 어디서든 섭취할 수 있고,
150ml 물에 타서 잘 저어 바로 마시면 되니 간편하네요.
하루 루틴으로 꾸준히 잘 챙겨먹으니, 
체지방 및 체중감소 효과가 나서 점점 몸이 가볍고 산뜻해집니다.
몸이 해독 되는게 느껴져 너무 좋네요. 추천입니다!!더보기"
door*****,5,2024-12-25,한달사용식초냄새도 없고 달콤해여
euni*****,5,2024-09-18,"다이어트뿐만 아니라 혈당조절에도 도움이 되서 요즘 필수 먹거리자나요~~
인기인데는 이유가 있눈거 같아요ㅎㅎ
애사비먹고 소화도 더 잘되고 혈당스파이크 증상인 식곤증도 덜해요~
이전에 먹던 애사비처럼 식초 특유의 쿰쿰한 냄새가 안나고 음료수처럼 상큼 달달하고 너무 좋네요~
너무 맛 있어서 이거 건강에 해로운거 아니야 싶을 정도로 맛 있는데
소화잘되고 속편한건 똑같아서 애사비 효과도 확실합니다! 
한포씨 되어있어서 휴대도 용이해서 운동가서도
밖에서 물대신먹을때도 잘 이용해요~
찬물에도 잘 녹아서 태우기도 편합니다
맛도 진해서 물 150ml보다 뮬 더 넉넉히해서
물대신으로  부드럽게 잘 먹어요~더보기"
lala****,5,2024-10-29,"한달사용애사비 진짜 완전 대배 맛있어요!
애사비가 이렇게 맛있어도 되는건가요?
다먹고 또 주문하러 왔어요. 닥터랩노쉬 애사비만 있으면 다른 음료수가 필요 없어요.
중학생아이도 진짜 좋아합니다."
wlsd*****,5,2024-12-04,한달사용탄산 대체로 좋아요!
