ID,RATE,CREATED,REVIEW
luxb****,5,25-03-09,"아들이 너무 피곤해하고  체력이 너무 떨어져서 구매하였습니다. 효과 있었으면 합니다.
배송 빠르고 포장도 잘되어서 왔어요.
유효기간도 넉넉하고요."
worl******,5,25-03-07,한달사용친구 선물로 보내줬는데 홍삼 잘 받아서 잘 먹고 있다고 좋아했어요. 선물한 보람이 있었습니다.
army****,5,25-01-25,"환절기라 몸이 안좋으신 아빠를 위해 샀어요
처음엔 당연히 정*장 사려고 했는데 검색해보니 이 상품이 진세노사이드 함량이 더 높은데 가격도 합리적이더라구요!
그럼에도 설 선물 겸 주는 거라 포장이 예뻤으면 해서 마지막까지 그 상품과 고민했어요(정*장 상품은 예쁜 보자기에 포장하여 판매)
결국 이 상품 샀는데 이 상품은 쇼핑백으로 오지만 쇼핑백이 크기도 상품이랑 딱 맞고 깔끔해서 선물주는 맛 있더라구요! 괜한 고민했어요..
그래도 저 같은 고민하시는 분들 꽤 있을 것 같아요..! 설이나 명절 때 선물하시는 분들 위해 포장 옵션 같은 것도 만들면 더 좋을 듯 ㅎㅎ 다만 그냥 합리적인 가격으로 구매하고픈 분들 위해 쇼핑백 나오는 해당 상품도 쭉 유지하고요!
암튼 배송도 빨라 좋았어요~ 담에 또 구매할게요!더보기"
yunj****,5,25-03-09,입맛없을때 면력역 저하때 구매해 음복합니다. 대동고려삼 믿고 구매합니다.
djdy******,5,25-03-14,한달사용재구매1년 넘게 먹고 있는데 면연력에 좋은거 같아요
ojoj****,5,25-03-06,할머니 선물로 사드렸습니다 다른거 안들어있고 홍삼만있어서 마음에 듭니다
tkj7***,5,25-02-22,정관장만 복용하다 가격도 비싸서 네이버검색하다 이걸루 결정...맛이 확실히 진해요~가성비좋은 제품이기를... 복용후 한달후에 다시 올려볼까해요~
tosu****,4,25-03-07,"진세노사이드가 높다고 해서 시켜 보았어요.
한ㅅㄹ이나 정ㄱㅈ 먹였는데 
좋으면 계속 이용해보려고요.!!
아직 먹여보진 않았어요"
dlsn********,5,25-03-10,한달사용한달이라 아직 느낌은 없는 것 같다고 하네요
hyeo******,5,25-03-06,한달사용재구매아빠가 너무 좋아해서 날마다 시켜드려요
