ID,RATE,CREATED,REVIEW
kimg******,5,2025-03-13,"한달사용처음엔 ""철분제를 젤리로 먹는다?"" 싶었는데, 한 달 동안 꾸준히 먹어보니 이제는 안 먹으면 허전할 정도!
철분제 특유의 부담스러운 맛 없이 간식처럼 즐길 수 있는 영양제라 너무 만족합니다.

✔️ 한 달간 느낀 장점

✅ 맛이 진짜 중요하다!
크랜베리맛이라 새콤달콤해서 거부감이 전혀 없어요. 오히려 하루 한 개씩 꺼내 먹는 게 즐겁습니다. (이거 너무 맛있어서 두 개 먹고 싶을 정도..ㅎㅎ)

✅ 속이 편안~
일반 철분제 먹으면 속이 더부룩하거나 변비가 오는 경우도 있는데, 이건 전혀 그런 게 없었어요! 임산부도 부담 없이 먹을 수 있을 듯.

✅ 섭취가 간편!
물 없이 그냥 씹어 먹으면 끝! 바쁜 아침에도 후딱 챙길 수 있어서 좋아요.

✅ 눈에 띄는 효과
한 달 정도 지나니까 확실히 피로감이 줄고 얼굴이 좀 덜 창백해 보이는 느낌?! 빈혈기가 있던 분들은 더 확실하게 체감할 듯합니다.


앞으로도 재구매 예정입니다. 건강을 맛있게 챙기고 싶은 분들 고민 말고 구매 고고!더보기"
hjij***,5,2025-03-11,"초등학교 4학년이 되면서 성장기탓인지 자주 어지럽다고 하는 딸아이를 위해 구매했습니다
겉에 부분은 질겨서 씹기 힘들다고 하는데 안에 즙은 맛있다며 하루도 빼먹지 않고 잘 먹고 있어요
철분제 덕분인지 요즘은 어지럽다고 하는 횟수도 줄어들었어요
유독 영양제 안 먹는 아이인데 마이해빗츄어블은 잘 먹어서 또 추가구매하려고 합니다"
piro*****,5,2025-03-09,재구매중학생 딸아이가 철분제를 먹기 힘들어해서 제형을 젤리형태로 고르다가 발견하였고 잘 먹어서 재구매합니다. 향도 크렌베리향이라 좋네요.
ejsk***,4,2025-02-25,다른 영양제 추어블을 먹고있어서 철분도 추어블을 했는데 그냥 물로 삼키는게 편할것같긴해요. 뒷맛이 계속 입에 멤돌아서ㅜ 빠른 배송 감사합니다~ 잘 챙겨먹을게요~
jell*******,5,2025-02-27,한달사용재구매꾸준히 구매해서 먹고있습니다. 마이해빗은 온가족이 맛있게 먹을수 있다는것이 큰 장점입니다. 물없이 씹어서 먹기 좋고 맛이 좋아 거부감안생겨요^^배송도 항상빠르게 오고 너무좋아요 흠잡을것 없이 강력추천입니다.
jiya*******,5,2025-03-08,요즘 다크써클이 가득한 초딩 아이들 입맛에맞는 철분제를 먹이려고 구입했어요! 1일 함량이 한알에 들어있으니 간편하게 먹이기 좋아요^^
emot******,5,2025-03-13,빠른 배송에 맛도 나쁘지 않네요... 두통에 멍함 잦은 몸살기운등으로 주위에서 철분제 먹어보라고해서 구매했는데 효과가 있었으면 좋겠네요
kimg******,5,2025-02-07,"마이해빗 츄어블 철분제 크랜베리맛 젤리 후기

1. 맛
츄어블이라고 해서 단순히 건강식품 맛일 줄 알았는데, 크랜베리의 상큼함이 확 느껴져서 그냥 간식처럼 즐기게 되더라구요. 달달하면서도 과하지 않은 맛이 딱 좋았어요. ""아... 이게 건강에 좋은 철분제라니?!"" 라는 생각이 들 정도로 만족스럽습니다.

2. 섭취 편리성
기존 철분제는 삼키기 힘든 알약이 많았는데, 이 제품은 씹어먹는 젤리 타입이라 너무 편해요. 아침마다 물 없이도 바로 꺼내 먹을 수 있어서 정말 간편합니다.

3. 효과
일상에서 피로감이 줄어든 게 가장 크게 느껴졌어요. 특히 오후에 지치던 순간들이 많이 사라졌습니다. 꾸준히 섭취하면서 몸 상태가 확실히 좋아지는 게 느껴져요. 특히 빈혈이 있거나 에너지가 필요한 분들께는 딱인 것 같아요!더보기"
zuzu******,5,2025-03-11,빈혈증세가 살짝  오는 듯해 기존 철분제는 속이 거북해져서 간편하게 씹어 먹는 제품으로 구입했어요~먹기 편하고 속도 안불편하고  좋아요~^^
qord*****,5,2025-03-06,"철분 특유의 피비린내도 없고, 맛도 부담스럽지 않아 재구매했습니다!!
22주차 임산부라 12주차 때 부터 하루 2알씩 먹고 있는데 다 먹으면 또 재주문할게요ㅋㅋㅋ 아 개인차는 있겠지만 철분먹으면 변비온다는데 저는 이거 먹고 변비도 없었어요!!"
spah****,5,2025-03-12,"일단 너무 맛있어요 
먹어보고 많이 구매하려 했는데
일주일치 남았을때 바로 더 구매하려구요 ㅎㅎ
감사합니다 !!!"
wjda******,5,2025-03-06,맛도 생각보다 좋았어요. 간식 느낌.! 요즘 컨디션이 안좋아서 이것저것 챙겨 먹는데 도움 됐으면 좋겠어요.
gml5***,5,2025-03-10,한달사용임신하고 철분 섭취를 위해 타제품 먹고 변비가 와서 이 제품을 구매해서 먹었어요. 처음 구매하고 3통 구매해서 먹는 동안 변비 걱정이 없어서 좋아요.
snow******,5,2025-03-09,병원에서 자녀 철분부족을 이야기 하여 매일 챙겨먹이고 있습니다. 가격은 비싸지만 다른 철분제보다 먹기 쉽고 맛있어서 선택할수 밖에 없네요.
vi****,5,2025-03-07,"먹기 너무 편합니다. 한통 다 먹어가는데, 변비 없어서 너무 좋습니다~"
rhdb********,4,2025-03-11,"한달사용가끔씩 깜빡하고 못먹어서
아직 한달  못먹었네요ㅋㅋ
저녁에 먹고있어요
건강검진에서 아주살짝 빈혈수지있다고해서 먹어봅니다"
leoc***,5,2025-02-24,"검진결과 빈혈수치가 낮아서 철분제 검색 또 검색 하다 먹기에 거부감 없고 맛있다는 후기보고 구매 결정
고등학생 딸과 함께 먹기 시작했는데
정말 맛있는 철분제 맞네요
아이가 더 먹고 싶어해요^^
철분제의 효과에도 충실하다면 
최고의 철분 영양제 인정입니다더보기"
kim7****,5,2025-03-08,"한달사용아이들도 맛있다고 잘먹어요
철분제 중에 먹기 젤 좋은것 같아요"
jung*******,5,2025-03-07,빈혈수치가 낮아 철분제 복용을 하고 있는데 기존에 먹던 약들은 특유의 비린맛이 있어 복용이 꺼려졌는데 이건 향도 그렇고 맛있기까지 합니다앙^^
choi*******,5,2025-03-11,누웠다가 일어날때 어지러워서 샀는데~ 한 두번 먹고 괜찮아 졌어요~ 맛도 안비리고 좋네요
ajfx********,5,2025-03-07,알약잘못먹어서 추천받아서 사봤는데 진짜먹기편하고 거부감없고 맛있어용ㅎㅎㅎ계속시킬듯
rmeo*******,5,2025-03-11,먹기 편하고.초등학생 딸이 잘먹어서 같이 먹으려고 추가 구매 했어요
too7***,5,2025-03-13,딸아이랑 하나씩 먹으려고 구매했습니다. 먹기편해요
mylu*****,5,2025-03-05,"한달사용맛있어요
피맛이 안나서 먹기 좋우니까 꾸준히 먹게되네요
이번 할인때 또 구매했어요"
hanv******,5,2025-03-10,"오배송 바로 정정해주시고, 철분제 맛도 좋아서 감사합니다"
votu****,5,2025-03-11,한달사용꾸준히 먹어봐야겠쥬 씹는맛도 좋고 약먹는 느낌없어서 좋아요.
sulu***,5,2025-03-08,"한달사용재구매잘 먹고 있어요
이 제품으로 정착 하려고 해요
상큼하고 달달 해서 젤리 먹는 기분이에용ㅋㅋ"
ri****,5,2025-03-14,물 없이도 편하게 씹어 먹어서 좋아요
tjsa******,3,2025-03-06,한달사용껍질은 안삼켜져요 그냥 씹어서 나오는 즙만 먹고 껍데기는 버려요 먹을만해요!!
dhss*******,5,2025-03-06,4통째 구입합니다. 가족모두 먹고있어요~~아이도 젤리같다고 잘 먹습니다.
gml5***,5,2025-03-10,"재구매3번째 구매입니다.
철분제 섭취로 인한 변비가 없어서 좋아요~"
tjdi***,4,2025-03-10,아이 먹일 철분제로 골랐는데 잘 먹고 잠도 푹자요
zi****,4,2025-03-07,아이들이 액상 철분도 먹어보고 분말 철분도 먹었었는데 맛이 너무 먹기 힘들다고 싫어했었는데 이건 맛이 괜찮다고 잘 먹어요
fait******,5,2025-03-13,한달사용냄새 나지 않고 비릿하지 않아 씹어서 잘 먹었습니다!
erew****,5,2025-03-14,먹기 편한 점이 마음에 들어요!
with*****,5,2025-03-05,한달사용철분제를 맛있게 먹었습니다. 재구매 의사 있어요~
bora******,5,2025-03-02,"먹기가 진짜 편리해요! 특유의 엳한 느낌이없고 변비도 안생겨요!!
효과는 그대로 있겠죠???"
ko****,4,2025-03-07,재구매어지럼증이심해서먹고효과가좋아서계속복용합니다
