ID,RATE,CREATED,REVIEW
jisuk881020,1,2021-08-19 17:22:33 +0900,"아니 사이트에서 삿더니
에나스쿨에서 완전 싸게 파네요?
가격차이가 이게 3박스에 차이가 이렇게 많이 난다구요?
환불합니다.. 진짜 어이가없네 ...;;;;"
,5,2021-10-26 04:16:29 +0900,"없으면 불안해요 쟁여템

(2021-10-25 16:27:12 에 등록된 네이버 페이 구매평)"
,5,2021-10-25 03:30:36 +0900,"너무 좋아요 소화도 잘되고 우리가족들은 이거 없으면 외식을 안해요ㅎㅎㅎ

(2021-10-24 11:42:26 에 등록된 네이버 페이 구매평)"
,5,2021-10-23 05:21:57 +0900,"소화불량이 심해서 주문했어요
효과가 좋았으면 좋겠어요

(2021-10-22 19:12:23 에 등록된 네이버 페이 구매평)"
,4,2021-10-23 05:09:44 +0900,"아직 효과는 잘 모르겠지만 계속 먹어봐야죠

(2021-10-22 16:15:42 에 등록된 네이버 페이 구매평)"
,5,2021-10-23 04:18:43 +0900,"빠른배송감사합니다다

(2021-10-22 13:02:26 에 등록된 네이버 페이 구매평)"
,5,2021-10-23 03:33:00 +0900,"두번째 구입이에요 가끔 속이 더부룩할때 먹는데 좋아요

(2021-10-22 12:01:17 에 등록된 네이버 페이 구매평)"
,5,2021-10-23 03:14:42 +0900,"항상 먹는제품입니다. 빠른배송감사합니다~

(2021-10-22 09:37:56 에 등록된 네이버 페이 구매평)"
,5,2021-10-23 02:22:11 +0900,"다른 많은 효소를 먹어봤는데 이렇게 속 편한 효소는 처음인듯해요

(2021-10-22 00:09:30 에 등록된 네이버 페이 구매평)"
,5,2021-10-23 02:22:11 +0900,"효소의 효능은 모르겠으나 먹어야 하므로 먹습니다!!!!!

(2021-10-22 00:06:47 에 등록된 네이버 페이 구매평)"
,5,2021-10-22 06:08:00 +0900,"소화도 잘되고 맛도 고소하니 좋아요

(2021-10-21 21:49:51 에 등록된 네이버 페이 구매평)"
,5,2021-10-22 03:24:16 +0900,"역하지 않고 먹기 편해요
많이 먹고 1-2포 먹으면 속이 편해요
비싸도 계속 구매하게 되네요

(2021-10-21 10:20:15 에 등록된 네이버 페이 구매평)"
,5,2021-10-21 06:39:46 +0900,"심리효과인지 모르겠지만 ㅎㅎ 밥먹고나서 하나씩 먹으니 소화가 되게 잘되는 느낌이예요~ 더부룩도 없고~ 역시 ㅋ 임산부들도 먹을수 있으니 너무 좋네요 +_+ ㅋ 가루도 고와서 먹기도 편해요!

(2021-10-20 23:55:10 에 등록된 네이버 페이 구매평)"
,5,2021-10-21 05:26:12 +0900,"이번이 두번째라 누룽지 맛으로 샀는데 첨삿던게 더 먹기편하네요.

(2021-10-20 19:23:10 에 등록된 네이버 페이 구매평)"
,4,2021-10-20 06:36:42 +0900,"같은 제품 핑크색 보다 양이 좀 많아요 더 고소하긴 한데 양이 좀 많아서 목넘김이...

(2021-10-19 22:42:42 에 등록된 네이버 페이 구매평)"
,5,2021-10-20 06:03:34 +0900,"효소없이는 못 살아요

(2021-10-19 20:36:24 에 등록된 네이버 페이 구매평)"
,5,2021-10-19 05:43:28 +0900,"친구집에서 먹어보고 구매했어요!
기대합니다.

(2021-10-18 22:25:47 에 등록된 네이버 페이 구매평)"
,5,2021-10-18 02:20:37 +0900,"누룽지맛? 라떼맛? 이 나서 거부감이 없고
입자가 크지만 목넘김이 좋고 물 바로 먹어주면
입자큰게 없어져버림
비##효소 먹다 청국장 맛에 맛없어해서
매#효소 먹다 다른거없나 하던차에 잘 찾은듯

(2021-10-17 01:04:22 에 등록된 네이버 페이 구매평)"
,4,2021-10-17 06:41:48 +0900,"꾸준하게 섭취하고 있는 제품이예여

(2021-10-16 23:11:41 에 등록된 네이버 페이 구매평)"
,5,2021-10-17 04:43:19 +0900,"추천받아서 사봤는데 열심히 먹어볼께요

(2021-10-16 14:40:04 에 등록된 네이버 페이 구매평)"
,5,2021-10-17 03:46:48 +0900,"소화도 잘되는거같고 대변도 잘나오는거같고 속도 편한듯해요. 유통기한도 넉넉하구 배송도 빨리왔어요.

(2021-10-16 12:33:14 에 등록된 네이버 페이 구매평)"
,3,2021-10-17 03:46:47 +0900,"곡물 맛 나고 먹기는 편해요~ 효과는 한통 다 먹어봐야 알듯하네요~~

(2021-10-16 12:15:13 에 등록된 네이버 페이 구매평)"
,5,2021-10-17 02:27:58 +0900,"이제 먹은지 얼마 안됐지만 꾸준히 먹어보려구요 ㅎㅎ

(2021-10-16 00:31:52 에 등록된 네이버 페이 구매평)"
,5,2021-10-16 05:37:16 +0900,"몇달째 요아이만 구매해서 먹어요
안먹으면 뭔가 이상해요 ㅠㅠ 맛나요

(2021-10-15 19:14:09 에 등록된 네이버 페이 구매평)"
,5,2021-10-16 03:34:36 +0900,"먹기 편하고 고소하넹ㄷ

(2021-10-15 10:17:19 에 등록된 네이버 페이 구매평)"
,3,2021-10-16 02:25:30 +0900,"효소은 좋은데 맛이 내스탈아님

(2021-10-15 00:20:11 에 등록된 네이버 페이 구매평)"
chosy5754,5,2021-10-15 14:21:15 +0900,"구매후기
평소에 소화 잘 안되고 장도 좀 안좋은 편고 근무특성상 앉아있는 시간이 긴데 광고보고 구매해봤습니다.
1포 먹었는데 미숫가루 맛이나서 거부감 없이 먹었어요~
광고보고 구매했는데 좋았으면 좋겠네요~!!"
,5,2021-10-15 05:53:45 +0900,"먹기 편하고 맛도 괜찮아요

(2021-10-14 20:08:34 에 등록된 네이버 페이 구매평)"
,5,2021-10-15 04:05:27 +0900,"소화가 잘안되서 고민중에 소개 받아 먹어봐요~~기대하봅니다!!!

(2021-10-14 14:35:32 에 등록된 네이버 페이 구매평)"
,5,2021-10-15 03:16:48 +0900,"상품 잘받았습니다 효과 봤으면 좋겠네요

(2021-10-14 09:27:07 에 등록된 네이버 페이 구매평)"
,4,2021-10-15 02:58:00 +0900,"소화에 효과있으면 좋겠어요..

(2021-10-14 09:58:14 에 등록된 네이버 페이 구매평)"
,5,2021-10-14 02:34:11 +0900,"전에 유산균 먹어보고 효소도 먹어보고 싶어 주문했어요
택배 받자마자 맛이 궁금해 먹어봤어요ㅎ
맛은 나쁘지 않아요 고소한맛
꾸준히 먹어봐야겠지만 괜찮을거같아요

(2021-10-13 01:29:19 에 등록된 네이버 페이 구매평)"
,4,2021-10-13 06:19:50 +0900,"항상 먹는 거랍니당.

(2021-10-12 23:36:57 에 등록된 네이버 페이 구매평)"
,5,2021-10-13 05:41:58 +0900,"자주먹는효소 없으면 불안한효소
이번에 늦게와서 걱정했는데 드디어받았네요

(2021-10-12 21:07:20 에 등록된 네이버 페이 구매평)"
,4,2021-10-13 05:15:26 +0900,"먹어보고 맛있어서 구매했습니다

(2021-10-12 21:18:38 에 등록된 네이버 페이 구매평)"
,5,2021-10-11 04:59:50 +0900,"좋다고해서 먹어봅니다 효과는 꾸준히 먹어봐야 알것같아요

(2021-10-10 20:27:05 에 등록된 네이버 페이 구매평)"
,4,2021-10-10 03:03:16 +0900,"포장은 잘 되어 왔습니다. 생각보다 배송이 늦은 거 같네요.

(2021-10-09 10:02:25 에 등록된 네이버 페이 구매평)"
,5,2021-10-08 06:30:42 +0900,"빠른 배송 감사합니다

(2021-10-07 22:33:32 에 등록된 네이버 페이 구매평)"
,5,2021-10-08 05:03:46 +0900,"좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요 좋아요

(2021-10-07 17:09:52 에 등록된 네이버 페이 구매평)"
,5,2021-10-07 06:03:40 +0900,"대변이 불편한 편인 데 먹으면 속이 편해요

(2021-10-06 22:10:38 에 등록된 네이버 페이 구매평)"
,5,2021-10-07 05:34:06 +0900,"최애입니다 요즘. 엄마것 주문햇어요

(2021-10-06 20:23:19 에 등록된 네이버 페이 구매평)"
,5,2021-10-07 04:23:12 +0900,"좋아요
맛은 생각한것만큼은 아니지만 잘녹고 좋아요

(2021-10-06 17:34:09 에 등록된 네이버 페이 구매평)"
,5,2021-10-07 03:20:00 +0900,"좋아요!!과식햇을때 먹으면 속 더부룩하지않아요

(2021-10-06 13:08:09 에 등록된 네이버 페이 구매평)"
,5,2021-10-07 02:40:48 +0900,"배송이 엄청 빨랐어요 맛있어요

(2021-10-06 09:17:17 에 등록된 네이버 페이 구매평)"
,3,2021-10-06 02:35:43 +0900,"먹어봐야죠기대되요좋아요

(2021-10-05 08:44:50 에 등록된 네이버 페이 구매평)"
,5,2021-10-04 04:24:14 +0900,"임신중인데 먹어보니 배부를때 괜찮은거 같아요 맛은 미숫가루? 알약이면 편하게 먹을꺼 같아요 치아에 잘껴서 불편해요

(2021-10-03 18:26:05 에 등록된 네이버 페이 구매평)"
,5,2021-10-03 06:17:44 +0900,"다시 재구매 의사있어요
확실히 ㆍㅇ실읏ㄴ 잘가요

(2021-10-02 23:28:14 에 등록된 네이버 페이 구매평)"
,4,2021-10-03 05:51:46 +0900,"소화는 잘 되는것 같구요 맛은 다른재품 먹던것보다 살짝 맛은 없지만 괜찮아요

(2021-10-02 21:25:11 에 등록된 네이버 페이 구매평)"
,4,2021-10-03 03:31:46 +0900,"남편이 먹고 속이 편하다고 하네요 변비도 없어지고 가격이 비싸서 고민했는데 남편이 사주라해서 사네요 ~

(2021-10-02 11:02:09 에 등록된 네이버 페이 구매평)"
,5,2021-10-02 05:24:17 +0900,"효과 있는것같아요 재구매각입니다^^

(2021-10-01 17:17:18 에 등록된 네이버 페이 구매평)"
,5,2021-10-02 03:48:13 +0900,"생각보다 너무 맛있어서 깜짝놀랬어요.
하루에 두번 먹는데 세번도 먹고싶더라구요.
효과도 있는거 같아요.재구매의사 100프로 입니다.

(2021-10-01 12:00:43 에 등록된 네이버 페이 구매평)"
,5,2021-09-30 05:03:38 +0900,"한달 먹어보고 효과가 좋아서 재구매 했습니당~ 포장 역시 꼼꼼하고, 맛도 고소해서 좋아용!!

(2021-09-29 17:38:01 에 등록된 네이버 페이 구매평)"
,4,2021-09-30 05:03:38 +0900,"일단먹어봐야 알거 같아요. 맛은 꼬숩

(2021-09-29 17:05:02 에 등록된 네이버 페이 구매평)"
,5,2021-09-30 04:40:07 +0900,"꾸준히 먹고 잇어여 너무 좋더라구요
또 구매할게요^^
유통기간 넉넉해서 안심

(2021-09-29 16:38:30 에 등록된 네이버 페이 구매평)"
,5,2021-09-30 03:47:32 +0900,"꾸준히 챙겨 먹으면 다이어트에 도움 될것 같아요

(2021-09-29 11:46:40 에 등록된 네이버 페이 구매평)"
,5,2021-09-29 06:36:09 +0900,"맛이있지는 않지만 임산부도 먹을수잇ㅇㅓ서 구매햇어요

(2021-09-28 21:23:12 에 등록된 네이버 페이 구매평)"
,5,2021-09-29 05:50:50 +0900,"확실히 속이 편하네요!

(2021-09-28 18:37:50 에 등록된 네이버 페이 구매평)"
,5,2021-09-29 03:46:31 +0900,"먹은 날이 확실히 편해요~

(2021-09-28 11:10:57 에 등록된 네이버 페이 구매평)"
,5,2021-09-28 05:54:49 +0900,"맛도 좋고 효과도 좋은거 같은데
넘느 비싼것...

(2021-09-27 21:28:02 에 등록된 네이버 페이 구매평)"
,4,2021-09-28 05:33:57 +0900,"그냥 그래요....

(2021-09-27 17:12:05 에 등록된 네이버 페이 구매평)"
,5,2021-09-27 04:28:12 +0900,"소화 잘 안되는 지인 선물해줬어요

(2021-09-26 17:05:00 에 등록된 네이버 페이 구매평)"
,5,2021-09-25 04:00:45 +0900,"좋네요 ㅋ 너무 건조하긴하지만

(2021-09-24 14:19:01 에 등록된 네이버 페이 구매평)"
,5,2021-09-23 04:03:23 +0900,"빠른 배송 감사합니다

(2021-09-22 20:36:41 에 등록된 네이버 페이 구매평)"
,5,2021-09-20 04:23:00 +0900,"먹어보니 다른거와 확실히 차이가 있어요
속이 편하고 화장실도 잘 가요

(2021-09-19 19:24:29 에 등록된 네이버 페이 구매평)"
,4,2021-09-18 03:48:54 +0900,"누룽지 맛은 아닌듯...
전 괜찮았는데 남자친구는 먹자 마자 우웩 하는 그런 맛이래요 ㅋㅋㅋ
그래도 효과만 좋으면 됐죠 머~~

(2021-09-17 11:42:09 에 등록된 네이버 페이 구매평)"
,3,2021-09-17 03:26:58 +0900,"만성 소화 불량. 좋다고 해서 엄마 사드렸는데 효과는 없으시다고 저희 엄마한테는 안 맞나봐요.

(2021-09-16 10:17:33 에 등록된 네이버 페이 구매평)"
,5,2021-09-17 02:39:35 +0900,"확실이 화장실 가는 횟수가 늘었어요 꾸준히 먹으려고 합니다

(2021-09-16 03:08:37 에 등록된 네이버 페이 구매평)"
,5,2021-09-14 04:24:42 +0900,"효과 대박입니다 너무 만족해요

(2021-09-13 13:14:28 에 등록된 네이버 페이 구매평)"
,5,2021-09-13 03:55:17 +0900,"저녁에 한번씩 야식시켜먹으면 잘 소화되서 너무 좋습니다

(2021-09-12 12:32:39 에 등록된 네이버 페이 구매평)"
,5,2021-09-13 02:14:55 +0900,"조금 더 먹어봐야 알겠지만 심리적 안정감이 들어요... 꾸준히 먹어서 소화력 좀 좋아졌음 좋겠어요ㅎ

(2021-09-12 00:29:56 에 등록된 네이버 페이 구매평)"
,5,2021-09-11 05:10:41 +0900,"한달 먹어보고 한달리뷰 또 올릴게요 우선 2틀 먹어본결과 배부름이 빨리 해결되는 느낌정도 예요

(2021-09-10 16:35:28 에 등록된 네이버 페이 구매평)"
,5,2021-09-11 02:49:50 +0900,"배송해주셔서 감사합니다

(2021-09-10 07:19:39 에 등록된 네이버 페이 구매평)"
,5,2021-09-11 02:41:51 +0900,"맛도좋고괜찮아요 ㅎㅎ

(2021-09-10 04:20:45 에 등록된 네이버 페이 구매평)"
jsk5134,5,2021-09-11 00:26:57 +0900,"좋아요
누룽지사탕맛 나요
화장실 잘가고 매우 만족합니다!!"
,5,2021-09-09 04:25:12 +0900,"소화가 불편해서 효소를 찾고 있었는데 마이해빗 제품이 괜찮아서 구입합니다.

(2021-09-08 16:17:11 에 등록된 네이버 페이 구매평)"
