ID,RATE,CREATED,REVIEW
capd***,5,2025-02-19,"베르베르 스무디 마셔봤어요! 요즘 채소랑 과일을 챙겨 먹기가 쉽지 않은데, 이걸로 간편하게 보충할 수 있을 것 같아서 기대하면서 구매했어요.

그린 (Green) 재료: 케일, 양배추, 오이, 셀러리, 사과 
맛: 가볍고 상쾌한 느낌이에요. 확실히 채소 위주의 맛이 나긴 하는데, 사과 덕분에 살짝 단맛도 있어서 생각보다 거부감 없이 마실 수 있었어요. 셀러리 향이 강하지 않아서 좋았고, 전체적으로 깔끔한 맛이에요.

퍼플 (Purple)
재료: 케일, 양배추, 블루베리, 파인애플
맛: 블루베리랑 파인애플 덕분에 상큼하고 달달한 느낌이에요. 케일과 양배추가 들어갔지만 과일 맛이 더 강해서 채소 맛이 거의 안 느껴져서 부담 없이 마시기 좋았어요. 확실히 인기 많은 이유가 있는 듯해요!

총평
건강한 재료라 그런지 마시고 나면 기분까지 개운해지는 느낌
아침 대용으로 가볍게 한 팩 먹기 괜찮음
퍼플이 좀 더 달달해서 무난하게 마시기 좋았음
다만 생과일 주스 같은 느낌보다는 살짝 묵직한 질감이라 호불호 갈릴 수도

개인적으로 퍼플이 더 맛있었어요! 건강한 한 끼 대용으로 괜찮아서 다음에 또 사 먹을 듯해요.더보기"
eh****,5,2025-04-01,한달사용맛있고 간편해서 너무 좋아요. 다만 가격이 더 저렴하면 매일 마실것 같은데.. 저는 일단 열심히 직접 갈아서 같이 마시고 있습니다. 이제 하나 남았는데.. ㅠㅠ 믹서기로 갈아마시면 빨리 마셔버려야 하니까 이틀에 한번꼴로 만들어야해서 힘들어요ㅠ
2big***,5,2025-02-08,"첫 출시 후 십분컷이였는지 한 시간도 
안 되서 품절되서 추가 예약주문으로 
겨우 주문 성공했어요ㅎㅎ
사실 28개 해도 개당 5천원 넘는 금액이 
쬐끔 부담스럽게 느껴지기도 했는데 받아서 
먹어보니 납득이 가더라구요^^ 
베르베르님 레시피대로 진짜  홈메이드 
스타일로 만들었구나가 딱 느껴졌구요~ 
기존에 시중에서 먹어본 그린클렌즈 주스는 100미리였나 그래서 양이 아쉬운 느낌도 있었는데 한 포에 200미리라 양 적은 분들은? 
나눠 먹을 수도 있을 것 같고ㅎㅎ아침 식사로 
부족함 없이 먹을 수 있는 것도 완전 대만족~~

그린 쥬스는 샐러리향 때문이지 말 그대로 
왠지 클렌즈 쥬스같이 건강해지는 느낌이라 
저는 좋았는데 초딩입맛 남편은 한 입 먹고 
거부했구요ㅋ 퍼플 쥬스는 좀 덜 단 블루베리 맛?ㅎㅎ 스무디 초보자라면 퍼플이 좀 더 입문하기 수월할 것 같단 생각이지만 난 둘 다 
번갈아 가면서 먹어보려구요^^
한 달 동안 잘 챙겨 먹고 떨어지기 전에 
또 쟁일 수 있으면 좋겠네요

비싼 영양제나 다른 거보다 자연식품으로 
잘 챙겨먹자가 올 해 목표이자 계획이네요 
아직 먹은지 이틀차라 드라마틱한 효과나 
후기는 없지만 일단 번거로운 과정 없이 
건강 스무디를 먹을 수 있다는 것 만으로도 
만족이고 기대됩니다 다양한 맛으로도 
출시되길 바라면 너무 욕심일까요ㅎㅎ더보기"
play*****,5,2025-04-04,"한달사용비염 변비는 그대로지만 생리통이 정말 심했는데 좋아졌어요!
정말 같은 여자여도 이렇게 다른 삶을 살 수 있구나, 하며 놀라고 있습니다
생리통 심하신 분들 꼭 추천합니다"
jung*******,5,2025-02-07,그린 퍼플 둘다 맛있어요. 별로 달지 않은데 신선하게 단맛이 느껴져요. 원물 그대로의 맛으로 정말 맛있게 잘 만들어졌어요. 그런데 입구가.... 너무 작아요. 이틀동안 냉장실에서 해동하고 냉장고에서 꺼내 30분정도 실온에 놔두고 먹는데도 즙만 나와요. 개선이 너무 필요해 보입니다. 이 작은 하얀 입구는 너무나 쥬스용이에요ㅠㅠ 덩어리진 스무디로 먹는 용도는 아닌듯합니다. 충분히 해동 했는데도 너무 안나와서 잘라서 숟가락으로 퍼먹었어요. 맛은 너무나 훌륭하지만.. 스무디 입구만 다음번 제작시 참고 부탁드립니다~~^^
thdt******,5,2025-03-03,"그린 퍼플 두가지 모두 구매했습니다!
사실 가격보고 흠칫! 놀라긴 했었지만, 제가 직접 재료 손질하고 만들고 하는 시간과 노력을 산 것이라고 생각해서 돈은 하나도 안아까웠습니다

가장 중요한 맛!! 둘 다 맛있습니다!!! 그린은 확실히 채소들 맛이 잘 나는 편인데 거부감은 하나도 없었고 맛있습니다👍🏻
퍼플은 그린보다는 확실히 달달 새콤?한 맛이 많이 나서 맛있습니다❣️

매일 아침마다 먹고있고, 확실히 먹기 전보다 엄청 뷰드럽게 쾌변 가능합니다!!ㅋㅋㅋ 최고
저는 다음 공구에도 살 생각입니다 ㅠㅠ더보기"
meil*****,5,2025-02-12,"베르정식을 아침식사 대용으로 먹으려고 주문했어요~ 요리를 잘 못하다보니 야채 섭취량도 결혼 이후 너무 줄어들고 건강도 갈 수록 안좋아지는게 단순 운동부족으로 보기에는 식습관도 문제가 있는 것 같아서 한끼만이라도 건강하게 먹어보자 싶어 주문했어요~
한 팩 마시고 계란 두개 먹는다고 배부를까? 걱정했는데 와~ 그런 걱정이 무색하게 스무디 한 팩에 배가 차고 계란 두개 먹으면 완전 든든!!!
이제 계란 하나로 줄이려고요 ㅎㅎㅎ 오전 내도록 거의 앉아있지 못하고 돌아다니며 일하는데 점심시간까지 배고프지 않고 너무 만족스럽습니다~
일주일 정도 지났는데 엄청 큰 변화는 아직 느껴지는게 없지만 다 마시면 또 주문할 거라는 생각이 드네요!!더보기"
jnh0***,5,2025-03-06,"재료가 신선해서 그런지 너무 맛있으며, 포장또한 철절함. 급냉동이라 ~ 안심하고 먹을수 있음. 한포 회사 가져와서 공복에 한봉지 먹으면 몸이 건강해지는 느낌입니다. 맛도 너무 좋아요... 베르베르 퍼플 스무디. 간편하고 편하게 먹을수 있는 게 너무 좋아요... 재구매 예정입니다."
dutj*****,5,2025-03-01,"베르베르 스무디를 먹고 나서 제 식습관이 좋아진 것 같아요! 전엔 그냥 거리낌 없이 가공식품을 먹었다면, 기왕 비싼돈 주고 사먹는거 아침 식사도 챙겨보고 ( 사과+땅콩버터에 계란, 그리고 베르베르스무디 👍) 저녁도 너무 늦은 시간엔 최대한 안먹으려고 노력하게 됩니다ㅠ 커피. 특히 라떼를 굉장히 좋아하는 사람인데 최대한 줄이고 아이스아메리카노 도전중입니다 (못먹겠어요) 
그 결과!! 군살이 정말 많이 빠졌고, 독소가 많은 몸이였는데 정화되는게 눈에 보여요!! 드라마틱하게 효과를 얻은건 아니지만 스무디 덕에 얻게 되는 것들이 많아서 행복합니다.더보기"
sk****,5,2025-03-07,한 끼는 건강하게 먹고싶은 마음에 레시피를 따로 저장해두긴했는데 매번 재료사고 손질하는게 생각보다 번거로워서 마음만큼 자주 못해먹었는데 이렇게 나와서 너무 좋아요 냉동에 보관해두고 먹기전에 상온해동하거나 냉장고에 며칠먹을거 미리 빼두면 첫끼로 먹기 너무 좋아요 스무디 맛도 너무 맛있어요!
